language,number,constructions
artificial_language_g0_244_m1_m4_m7,61,(43 + 18)
artificial_language_g0_244_m1_m4_m7,62,(43 + 19)
artificial_language_g0_244_m1_m4_m7,63,(43 + 20)
artificial_language_g0_244_m1_m4_m7,64,(43 + 21)
artificial_language_g0_244_m1_m4_m7,65,(43 + 22)
artificial_language_g0_244_m1_m4_m7,66,(43 + 23)
artificial_language_g0_244_m1_m4_m7,67,(43 + 24)
artificial_language_g0_244_m1_m4_m7,68,(43 + 25)
artificial_language_g0_244_m1_m4_m7,69,(43 + 26)
artificial_language_g0_244_m1_m4_m7,70,(43 + 27)
artificial_language_g0_244_m1_m4_m7,71,(43 + 28)
artificial_language_g0_244_m1_m4_m7,72,(43 + 29)
artificial_language_g0_244_m1_m4_m7,73,(43 + 30)
artificial_language_g0_244_m1_m4_m7,74,(43 + 31)
artificial_language_g0_244_m1_m4_m7,75,(43 + 32)
artificial_language_g0_244_m1_m4_m7,76,(43 + 33)
artificial_language_g0_244_m1_m4_m7,77,(43 + 34)
artificial_language_g0_244_m1_m4_m7,78,(43 + 35)
artificial_language_g0_244_m1_m4_m7,79,(43 + 36)
artificial_language_g0_244_m1_m4_m7,80,(43 + 37)
artificial_language_g0_244_m1_m4_m7,81,(43 + 38)
artificial_language_g0_244_m1_m4_m7,82,(43 + 39)
artificial_language_g0_244_m1_m4_m7,83,(43 + 40)
artificial_language_g0_244_m1_m4_m7,84,(43 + 41)
artificial_language_g0_244_m1_m4_m7,85,(43 + 42)
artificial_language_g0_244_m1_m4_m7,86,86
artificial_language_g0_244_m1_m4_m7,87,(86 + 1)
artificial_language_g0_244_m1_m4_m7,88,(86 + 2)
artificial_language_g0_244_m1_m4_m7,89,(86 + 3)
artificial_language_g0_244_m1_m4_m7,90,(86 + 4)
artificial_language_g0_244_m1_m4_m7,91,(86 + 5)
artificial_language_g0_244_m1_m4_m7,92,(86 + 6)
artificial_language_g0_244_m1_m4_m7,93,(86 + 7)
artificial_language_g0_244_m1_m4_m7,94,(86 + 8)
artificial_language_g0_244_m1_m4_m7,95,(86 + 9)
artificial_language_g0_244_m1_m4_m7,96,(86 + 10)
artificial_language_g0_244_m1_m4_m7,97,(86 + 11)
artificial_language_g0_244_m1_m4_m7,98,(86 + 12)
artificial_language_g0_244_m1_m4_m7,99,(86 + 13)
artificial_language_g0_244_m1_m8,1,1
artificial_language_g0_244_m1_m8,2,2
artificial_language_g0_244_m1_m8,3,3
artificial_language_g0_244_m1_m8,4,4
artificial_language_g0_244_m1_m8,5,5
artificial_language_g0_244_m1_m8,6,6
artificial_language_g0_244_m1_m8,7,7
artificial_language_g0_244_m1_m8,8,8
artificial_language_g0_244_m1_m8,9,9
artificial_language_g0_244_m1_m8,10,10
artificial_language_g0_244_m1_m8,11,11
artificial_language_g0_244_m1_m8,12,12
artificial_language_g0_244_m1_m8,13,13
artificial_language_g0_244_m1_m8,14,14
artificial_language_g0_244_m1_m8,15,15
artificial_language_g0_244_m1_m8,16,16
artificial_language_g0_244_m1_m8,17,17
artificial_language_g0_244_m1_m8,18,18
artificial_language_g0_244_m1_m8,19,19
artificial_language_g0_244_m1_m8,20,20
artificial_language_g0_244_m1_m8,21,21
artificial_language_g0_244_m1_m8,22,22
artificial_language_g0_244_m1_m8,23,23
artificial_language_g0_244_m1_m8,24,24
artificial_language_g0_244_m1_m8,25,25
artificial_language_g0_244_m1_m8,26,26
artificial_language_g0_244_m1_m8,27,27
artificial_language_g0_244_m1_m8,28,28
artificial_language_g0_244_m1_m8,29,29
artificial_language_g0_244_m1_m8,30,30
artificial_language_g0_244_m1_m8,31,31
artificial_language_g0_244_m1_m8,32,32
artificial_language_g0_244_m1_m8,33,33
artificial_language_g0_244_m1_m8,34,34
artificial_language_g0_244_m1_m8,35,35
artificial_language_g0_244_m1_m8,36,36
artificial_language_g0_244_m1_m8,37,37
artificial_language_g0_244_m1_m8,38,38
artificial_language_g0_244_m1_m8,39,39
artificial_language_g0_244_m1_m8,40,40
artificial_language_g0_244_m1_m8,41,41
artificial_language_g0_244_m1_m8,42,42
artificial_language_g0_244_m1_m8,43,43
artificial_language_g0_244_m1_m8,44,44
artificial_language_g0_244_m1_m8,45,(44 + 1)
artificial_language_g0_244_m1_m8,46,(44 + 2)
artificial_language_g0_244_m1_m8,47,(44 + 3)
artificial_language_g0_244_m1_m8,48,(44 + 4)
artificial_language_g0_244_m1_m8,49,(44 + 5)
artificial_language_g0_244_m1_m8,50,(44 + 6)
artificial_language_g0_244_m1_m8,51,(44 + 7)
artificial_language_g0_244_m1_m8,52,(44 + 8)
artificial_language_g0_244_m1_m8,53,(44 + 9)
artificial_language_g0_244_m1_m8,54,(44 + 10)
artificial_language_g0_244_m1_m8,55,(44 + 11)
artificial_language_g0_244_m1_m8,56,(44 + 12)
artificial_language_g0_244_m1_m8,57,(44 + 13)
artificial_language_g0_244_m1_m8,58,(44 + 14)
artificial_language_g0_244_m1_m8,59,(44 + 15)
artificial_language_g0_244_m1_m8,60,(44 + 16)
artificial_language_g0_244_m1_m8,61,(44 + 17)
artificial_language_g0_244_m1_m8,62,(44 + 18)
artificial_language_g0_244_m1_m8,63,(44 + 19)
artificial_language_g0_244_m1_m8,64,(44 + 20)
artificial_language_g0_244_m1_m8,65,(44 + 21)
artificial_language_g0_244_m1_m8,66,(44 + 22)
artificial_language_g0_244_m1_m8,67,(44 + 23)
artificial_language_g0_244_m1_m8,68,(44 + 24)
artificial_language_g0_244_m1_m8,69,(44 + 25)
artificial_language_g0_244_m1_m8,70,(44 + 26)
artificial_language_g0_244_m1_m8,71,(44 + 27)
artificial_language_g0_244_m1_m8,72,(44 + 28)
artificial_language_g0_244_m1_m8,73,(44 + 29)
artificial_language_g0_244_m1_m8,74,(44 + 30)
artificial_language_g0_244_m1_m8,75,(44 + 31)
artificial_language_g0_244_m1_m8,76,(44 + 32)
artificial_language_g0_244_m1_m8,77,(44 + 33)
artificial_language_g0_244_m1_m8,78,(44 + 34)
artificial_language_g0_244_m1_m8,79,(44 + 35)
artificial_language_g0_244_m1_m8,80,(44 + 36)
artificial_language_g0_244_m1_m8,81,(44 + 37)
artificial_language_g0_244_m1_m8,82,(44 + 38)
artificial_language_g0_244_m1_m8,83,(44 + 39)
artificial_language_g0_244_m1_m8,84,(44 + 40)
artificial_language_g0_244_m1_m8,85,(44 + 41)
artificial_language_g0_244_m1_m8,86,(44 + 42)
artificial_language_g0_244_m1_m8,87,(88 - 1)
artificial_language_g0_244_m1_m8,88,88
artificial_language_g0_244_m1_m8,89,(88 + 1)
artificial_language_g0_244_m1_m8,90,(88 + 2)
artificial_language_g0_244_m1_m8,91,(88 + 3)
artificial_language_g0_244_m1_m8,92,(88 + 4)
artificial_language_g0_244_m1_m8,93,(88 + 5)
artificial_language_g0_244_m1_m8,94,(88 + 6)
artificial_language_g0_244_m1_m8,95,(88 + 7)
artificial_language_g0_244_m1_m8,96,(88 + 8)
artificial_language_g0_244_m1_m8,97,(88 + 9)
artificial_language_g0_244_m1_m8,98,(88 + 10)
artificial_language_g0_244_m1_m8,99,(88 + 11)
artificial_language_g0_244_m1_m8_m9,1,1
artificial_language_g0_244_m1_m8_m9,2,2
artificial_language_g0_244_m1_m8_m9,3,3
artificial_language_g0_244_m1_m8_m9,4,4
artificial_language_g0_244_m1_m8_m9,5,5
artificial_language_g0_244_m1_m8_m9,6,6
artificial_language_g0_244_m1_m8_m9,7,7
artificial_language_g0_244_m1_m8_m9,8,8
artificial_language_g0_244_m1_m8_m9,9,9
artificial_language_g0_244_m1_m8_m9,10,10
artificial_language_g0_244_m1_m8_m9,11,11
artificial_language_g0_244_m1_m8_m9,12,12
artificial_language_g0_244_m1_m8_m9,13,13
artificial_language_g0_244_m1_m8_m9,14,14
artificial_language_g0_244_m1_m8_m9,15,15
artificial_language_g0_244_m1_m8_m9,16,16
artificial_language_g0_244_m1_m8_m9,17,17
artificial_language_g0_244_m1_m8_m9,18,18
artificial_language_g0_244_m1_m8_m9,19,19
artificial_language_g0_244_m1_m8_m9,20,20
artificial_language_g0_244_m1_m8_m9,21,21
artificial_language_g0_244_m1_m8_m9,22,22
artificial_language_g0_244_m1_m8_m9,23,23
artificial_language_g0_244_m1_m8_m9,24,24
artificial_language_g0_244_m1_m8_m9,25,25
artificial_language_g0_244_m1_m8_m9,26,26
artificial_language_g0_244_m1_m8_m9,27,27
artificial_language_g0_244_m1_m8_m9,28,28
artificial_language_g0_244_m1_m8_m9,29,29
artificial_language_g0_244_m1_m8_m9,30,30
artificial_language_g0_244_m1_m8_m9,31,31
artificial_language_g0_244_m1_m8_m9,32,32
artificial_language_g0_244_m1_m8_m9,33,33
artificial_language_g0_244_m1_m8_m9,34,34
artificial_language_g0_244_m1_m8_m9,35,35
artificial_language_g0_244_m1_m8_m9,36,36
artificial_language_g0_244_m1_m8_m9,37,37
artificial_language_g0_244_m1_m8_m9,38,38
artificial_language_g0_244_m1_m8_m9,39,39
artificial_language_g0_244_m1_m8_m9,40,40
artificial_language_g0_244_m1_m8_m9,41,41
artificial_language_g0_244_m1_m8_m9,42,42
artificial_language_g0_244_m1_m8_m9,43,43
artificial_language_g0_244_m1_m8_m9,44,44
artificial_language_g0_244_m1_m8_m9,45,45
artificial_language_g0_244_m1_m8_m9,46,(45 + 1)
artificial_language_g0_244_m1_m8_m9,47,(45 + 2)
artificial_language_g0_244_m1_m8_m9,48,(45 + 3)
artificial_language_g0_244_m1_m8_m9,49,(45 + 4)
artificial_language_g0_244_m1_m8_m9,50,(45 + 5)
artificial_language_g0_244_m1_m8_m9,51,(45 + 6)
artificial_language_g0_244_m1_m8_m9,52,(45 + 7)
artificial_language_g0_244_m1_m8_m9,53,(45 + 8)
artificial_language_g0_244_m1_m8_m9,54,(45 + 9)
artificial_language_g0_244_m1_m8_m9,55,(45 + 10)
artificial_language_g0_244_m1_m8_m9,56,(45 + 11)
artificial_language_g0_244_m1_m8_m9,57,(45 + 12)
artificial_language_g0_244_m1_m8_m9,58,(45 + 13)
artificial_language_g0_244_m1_m8_m9,59,(45 + 14)
artificial_language_g0_244_m1_m8_m9,60,(45 + 15)
artificial_language_g0_244_m1_m8_m9,61,(45 + 16)
artificial_language_g0_244_m1_m8_m9,62,(45 + 17)
artificial_language_g0_244_m1_m8_m9,63,(45 + 18)
artificial_language_g0_244_m1_m8_m9,64,(45 + 19)
artificial_language_g0_244_m1_m8_m9,65,(45 + 20)
artificial_language_g0_244_m1_m8_m9,66,(45 + 21)
artificial_language_g0_244_m1_m8_m9,67,(45 + 22)
artificial_language_g0_244_m1_m8_m9,68,(45 + 23)
artificial_language_g0_244_m1_m8_m9,69,(45 + 24)
artificial_language_g0_244_m1_m8_m9,70,(45 + 25)
artificial_language_g0_244_m1_m8_m9,71,(45 + 26)
artificial_language_g0_244_m1_m8_m9,72,(45 + 27)
artificial_language_g0_244_m1_m8_m9,73,(45 + 28)
artificial_language_g0_244_m1_m8_m9,74,(45 + 29)
artificial_language_g0_244_m1_m8_m9,75,(45 + 30)
artificial_language_g0_244_m1_m8_m9,76,(45 + 31)
artificial_language_g0_244_m1_m8_m9,77,(45 + 32)
artificial_language_g0_244_m1_m8_m9,78,(45 + 33)
artificial_language_g0_244_m1_m8_m9,79,(45 + 34)
artificial_language_g0_244_m1_m8_m9,80,(45 + 35)
artificial_language_g0_244_m1_m8_m9,81,(45 + 36)
artificial_language_g0_244_m1_m8_m9,82,(45 + 37)
artificial_language_g0_244_m1_m8_m9,83,(45 + 38)
artificial_language_g0_244_m1_m8_m9,84,(45 + 39)
artificial_language_g0_244_m1_m8_m9,85,(45 + 40)
artificial_language_g0_244_m1_m8_m9,86,(45 + 41)
artificial_language_g0_244_m1_m8_m9,87,(45 + 42)
artificial_language_g0_244_m1_m8_m9,88,(45 + 43)
artificial_language_g0_244_m1_m8_m9,89,(90 - 1)
artificial_language_g0_244_m1_m8_m9,90,90
artificial_language_g0_244_m1_m8_m9,91,(90 + 1)
artificial_language_g0_244_m1_m8_m9,92,(90 + 2)
artificial_language_g0_244_m1_m8_m9,93,(90 + 3)
artificial_language_g0_244_m1_m8_m9,94,(90 + 4)
artificial_language_g0_244_m1_m8_m9,95,(90 + 5)
artificial_language_g0_244_m1_m8_m9,96,(90 + 6)
artificial_language_g0_244_m1_m8_m9,97,(90 + 7)
artificial_language_g0_244_m1_m8_m9,98,(90 + 8)
artificial_language_g0_244_m1_m8_m9,99,(90 + 9)
artificial_language_g0_244_m1_m4_m7_m10,1,1
artificial_language_g0_244_m1_m4_m7_m10,2,2
artificial_language_g0_244_m1_m4_m7_m10,3,3
artificial_language_g0_244_m1_m4_m7_m10,4,4
artificial_language_g0_244_m1_m4_m7_m10,5,5
artificial_language_g0_244_m1_m4_m7_m10,6,6
artificial_language_g0_244_m1_m4_m7_m10,7,7
artificial_language_g0_244_m1_m4_m7_m10,8,8
artificial_language_g0_244_m1_m4_m7_m10,9,9
artificial_language_g0_244_m1_m4_m7_m10,10,10
artificial_language_g0_244_m1_m4_m7_m10,11,11
artificial_language_g0_244_m1_m4_m7_m10,12,12
artificial_language_g0_244_m1_m4_m7_m10,13,13
artificial_language_g0_244_m1_m4_m7_m10,14,14
artificial_language_g0_244_m1_m4_m7_m10,15,15
artificial_language_g0_244_m1_m4_m7_m10,16,16
artificial_language_g0_244_m1_m4_m7_m10,17,17
artificial_language_g0_244_m1_m4_m7_m10,18,18
artificial_language_g0_244_m1_m4_m7_m10,19,19
artificial_language_g0_244_m1_m4_m7_m10,20,20
artificial_language_g0_244_m1_m4_m7_m10,21,21
artificial_language_g0_244_m1_m4_m7_m10,22,22
artificial_language_g0_244_m1_m4_m7_m10,23,23
artificial_language_g0_244_m1_m4_m7_m10,24,24
artificial_language_g0_244_m1_m4_m7_m10,25,25
artificial_language_g0_244_m1_m4_m7_m10,26,26
artificial_language_g0_244_m1_m4_m7_m10,27,27
artificial_language_g0_244_m1_m4_m7_m10,28,28
artificial_language_g0_244_m1_m4_m7_m10,29,29
artificial_language_g0_244_m1_m4_m7_m10,30,30
artificial_language_g0_244_m1_m4_m7_m10,31,31
artificial_language_g0_244_m1_m4_m7_m10,32,32
artificial_language_g0_244_m1_m4_m7_m10,33,33
artificial_language_g0_244_m1_m4_m7_m10,34,34
artificial_language_g0_244_m1_m4_m7_m10,35,35
artificial_language_g0_244_m1_m4_m7_m10,36,36
artificial_language_g0_244_m1_m4_m7_m10,37,37
artificial_language_g0_244_m1_m4_m7_m10,38,38
artificial_language_g0_244_m1_m4_m7_m10,39,39
artificial_language_g0_244_m1_m4_m7_m10,40,40
artificial_language_g0_244_m1_m4_m7_m10,41,41
artificial_language_g0_244_m1_m4_m7_m10,42,42
artificial_language_g0_244_m1_m4_m7_m10,43,(42 + 1)
artificial_language_g0_244_m1_m4_m7_m10,44,(42 + 2)
artificial_language_g0_244_m1_m4_m7_m10,45,(42 + 3)
artificial_language_g0_244_m1_m4_m7_m10,46,(42 + 4)
artificial_language_g0_244_m1_m4_m7_m10,47,(42 + 5)
artificial_language_g0_244_m1_m4_m7_m10,48,(42 + 6)
artificial_language_g0_244_m1_m4_m7_m10,49,(42 + 7)
artificial_language_g0_244_m1_m4_m7_m10,50,(42 + 8)
artificial_language_g0_244_m1_m4_m7_m10,51,(42 + 9)
artificial_language_g0_244_m1_m4_m7_m10,52,(42 + 10)
artificial_language_g0_244_m1_m4_m7_m10,53,(42 + 11)
artificial_language_g0_244_m1_m4_m7_m10,54,(42 + 12)
artificial_language_g0_244_m1_m4_m7_m10,55,(42 + 13)
artificial_language_g0_244_m1_m4_m7_m10,56,(42 + 14)
artificial_language_g0_244_m1_m4_m7_m10,57,(42 + 15)
artificial_language_g0_244_m1_m4_m7_m10,58,(42 + 16)
artificial_language_g0_244_m1_m4_m7_m10,59,(42 + 17)
artificial_language_g0_244_m1_m4_m7_m10,60,(42 + 18)
artificial_language_g0_244_m1_m4_m7_m10,61,(42 + 19)
artificial_language_g0_244_m1_m4_m7_m10,62,(42 + 20)
artificial_language_g0_244_m1_m4_m7_m10,63,(42 + 21)
artificial_language_g0_244_m1_m4_m7_m10,64,(42 + 22)
artificial_language_g0_244_m1_m4_m7_m10,65,(42 + 23)
artificial_language_g0_244_m1_m4_m7_m10,66,(42 + 24)
artificial_language_g0_244_m1_m4_m7_m10,67,(42 + 25)
artificial_language_g0_244_m1_m4_m7_m10,68,(42 + 26)
artificial_language_g0_244_m1_m4_m7_m10,69,(42 + 27)
artificial_language_g0_244_m1_m4_m7_m10,70,(42 + 28)
artificial_language_g0_244_m1_m4_m7_m10,71,(42 + 29)
artificial_language_g0_244_m1_m4_m7_m10,72,(42 + 30)
artificial_language_g0_244_m1_m4_m7_m10,73,(42 + 31)
artificial_language_g0_244_m1_m4_m7_m10,74,(42 + 32)
artificial_language_g0_244_m1_m4_m7_m10,75,(42 + 33)
artificial_language_g0_244_m1_m4_m7_m10,76,(42 + 34)
artificial_language_g0_244_m1_m4_m7_m10,77,(42 + 35)
artificial_language_g0_244_m1_m4_m7_m10,78,(42 + 36)
artificial_language_g0_244_m1_m4_m7_m10,79,(42 + 37)
artificial_language_g0_244_m1_m4_m7_m10,80,(42 + 38)
artificial_language_g0_244_m1_m4_m7_m10,81,(42 + 39)
artificial_language_g0_244_m1_m4_m7_m10,82,(42 + 40)
artificial_language_g0_244_m1_m4_m7_m10,83,(42 + 41)
artificial_language_g0_244_m1_m4_m7_m10,84,84
artificial_language_g0_244_m1_m4_m7_m10,85,(84 + 1)
artificial_language_g0_244_m1_m4_m7_m10,86,(84 + 2)
artificial_language_g0_244_m1_m4_m7_m10,87,(84 + 3)
artificial_language_g0_244_m1_m4_m7_m10,88,(84 + 4)
artificial_language_g0_244_m1_m4_m7_m10,89,(84 + 5)
artificial_language_g0_244_m1_m4_m7_m10,90,(84 + 6)
artificial_language_g0_244_m1_m4_m7_m10,91,(84 + 7)
artificial_language_g0_244_m1_m4_m7_m10,92,(84 + 8)
artificial_language_g0_244_m1_m4_m7_m10,93,(84 + 9)
artificial_language_g0_244_m1_m4_m7_m10,94,(84 + 10)
artificial_language_g0_244_m1_m4_m7_m10,95,(84 + 11)
artificial_language_g0_244_m1_m4_m7_m10,96,(84 + 12)
artificial_language_g0_244_m1_m4_m7_m10,97,(84 + 13)
artificial_language_g0_244_m1_m4_m7_m10,98,(84 + 14)
artificial_language_g0_244_m1_m4_m7_m10,99,(84 + 15)
artificial_language_g1_11_m2_m5_m6_m10_m12,1,1
artificial_language_g1_11_m2_m5_m6_m10_m12,2,2
artificial_language_g1_11_m2_m5_m6_m10_m12,3,3
artificial_language_g1_11_m2_m5_m6_m10_m12,4,4
artificial_language_g1_11_m2_m5_m6_m10_m12,5,5
artificial_language_g1_11_m2_m5_m6_m10_m12,6,6
artificial_language_g1_11_m2_m5_m6_m10_m12,7,7
artificial_language_g1_11_m2_m5_m6_m10_m12,8,8
artificial_language_g1_11_m2_m5_m6_m10_m12,9,9
artificial_language_g1_11_m2_m5_m6_m10_m12,10,10
artificial_language_g1_11_m2_m5_m6_m10_m12,11,11
artificial_language_g1_11_m2_m5_m6_m10_m12,12,12
artificial_language_g1_11_m2_m5_m6_m10_m12,13,13
artificial_language_g1_11_m2_m5_m6_m10_m12,14,14
artificial_language_g1_11_m2_m5_m6_m10_m12,15,15
artificial_language_g1_11_m2_m5_m6_m10_m12,16,16
artificial_language_g1_11_m2_m5_m6_m10_m12,17,17
artificial_language_g1_11_m2_m5_m6_m10_m12,18,18
artificial_language_g1_11_m2_m5_m6_m10_m12,19,19
artificial_language_g1_11_m2_m5_m6_m10_m12,20,20
artificial_language_g1_11_m2_m5_m6_m10_m12,21,21
artificial_language_g1_11_m2_m5_m6_m10_m12,22,22
artificial_language_g1_11_m2_m5_m6_m10_m12,23,23
artificial_language_g1_11_m2_m5_m6_m10_m12,24,24
artificial_language_g1_11_m2_m5_m6_m10_m12,25,25
artificial_language_g1_11_m2_m5_m6_m10_m12,26,26
artificial_language_g1_11_m2_m5_m6_m10_m12,27,27
artificial_language_g1_11_m2_m5_m6_m10_m12,28,28
artificial_language_g1_11_m2_m5_m6_m10_m12,29,29
artificial_language_g1_11_m2_m5_m6_m10_m12,30,30
artificial_language_g1_11_m2_m5_m6_m10_m12,31,31
artificial_language_g1_11_m2_m5_m6_m10_m12,32,32
artificial_language_g1_11_m2_m5_m6_m10_m12,33,33
artificial_language_g1_11_m2_m5_m6_m10_m12,34,34
artificial_language_g1_11_m2_m5_m6_m10_m12,35,35
artificial_language_g1_11_m2_m5_m6_m10_m12,36,36
artificial_language_g1_11_m2_m5_m6_m10_m12,37,37
artificial_language_g1_11_m2_m5_m6_m10_m12,38,38
artificial_language_g1_11_m2_m5_m6_m10_m12,39,39
artificial_language_g1_11_m2_m5_m6_m10_m12,40,40
artificial_language_g1_11_m2_m5_m6_m10_m12,41,41
artificial_language_g1_11_m2_m5_m6_m10_m12,42,42
artificial_language_g1_11_m2_m5_m6_m10_m12,43,43
artificial_language_g1_11_m2_m5_m6_m10_m12,44,44
artificial_language_g1_11_m2_m5_m6_m10_m12,45,45
artificial_language_g1_11_m2_m5_m6_m10_m12,46,46
artificial_language_g1_11_m2_m5_m6_m10_m12,47,47
artificial_language_g1_11_m2_m5_m6_m10_m12,48,48
artificial_language_g1_11_m2_m5_m6_m10_m12,49,(48 + 1)
artificial_language_g1_11_m2_m5_m6_m10_m12,50,(48 + 2)
artificial_language_g1_11_m2_m5_m6_m10_m12,51,(48 + 3)
artificial_language_g1_11_m2_m5_m6_m10_m12,52,(48 + 4)
artificial_language_g1_11_m2_m5_m6_m10_m12,53,(48 + 5)
artificial_language_g1_11_m2_m5_m6_m10_m12,54,(48 + 6)
artificial_language_g1_11_m2_m5_m6_m10_m12,55,(48 + 7)
artificial_language_g1_11_m2_m5_m6_m10_m12,56,(48 + 8)
artificial_language_g1_11_m2_m5_m6_m10_m12,57,(48 + 9)
artificial_language_g1_11_m2_m5_m6_m10_m12,58,(48 + 10)
artificial_language_g1_11_m2_m5_m6_m10_m12,59,(48 + 11)
artificial_language_g1_11_m2_m5_m6_m10_m12,60,(48 + 12)
artificial_language_g1_11_m2_m5_m6_m10_m12,61,(48 + 13)
artificial_language_g1_11_m2_m5_m6_m10_m12,62,(48 + 14)
artificial_language_g1_11_m2_m5_m6_m10_m12,63,(48 + 15)
artificial_language_g1_11_m2_m5_m6_m10_m12,64,(48 + 16)
artificial_language_g1_11_m2_m5_m6_m10_m12,65,(96 - 31)
artificial_language_g1_11_m2_m5_m6_m10_m12,66,(96 - 30)
artificial_language_g1_11_m2_m5_m6_m10_m12,67,(96 - 29)
artificial_language_g1_11_m2_m5_m6_m10_m12,68,(96 - 28)
artificial_language_g1_11_m2_m5_m6_m10_m12,69,(96 - 27)
artificial_language_g1_11_m2_m5_m6_m10_m12,70,(96 - 26)
artificial_language_g1_11_m2_m5_m6_m10_m12,71,(96 - 25)
artificial_language_g1_11_m2_m5_m6_m10_m12,72,(96 - 24)
artificial_language_g1_11_m2_m5_m6_m10_m12,73,(96 - 23)
artificial_language_g1_11_m2_m5_m6_m10_m12,74,(96 - 22)
artificial_language_g1_11_m2_m5_m6_m10_m12,75,(96 - 21)
artificial_language_g1_11_m2_m5_m6_m10_m12,76,(96 - 20)
artificial_language_g1_11_m2_m5_m6_m10_m12,77,(96 - 19)
artificial_language_g1_11_m2_m5_m6_m10_m12,78,(96 - 18)
artificial_language_g1_11_m2_m5_m6_m10_m12,79,(96 - 17)
artificial_language_g1_11_m2_m5_m6_m10_m12,80,(96 - 16)
artificial_language_g1_11_m2_m5_m6_m10_m12,81,(96 - 15)
artificial_language_g1_11_m2_m5_m6_m10_m12,82,(96 - 14)
artificial_language_g1_11_m2_m5_m6_m10_m12,83,(96 - 13)
artificial_language_g1_11_m2_m5_m6_m10_m12,84,(96 - 12)
artificial_language_g1_11_m2_m5_m6_m10_m12,85,(96 - 11)
artificial_language_g1_11_m2_m5_m6_m10_m12,86,(96 - 10)
artificial_language_g1_11_m2_m5_m6_m10_m12,87,(96 - 9)
artificial_language_g1_11_m2_m5_m6_m10_m12,88,(96 - 8)
artificial_language_g1_11_m2_m5_m6_m10_m12,89,(96 - 7)
artificial_language_g1_11_m2_m5_m6_m10_m12,90,(96 - 6)
artificial_language_g1_11_m2_m5_m6_m10_m12,91,(96 - 5)
artificial_language_g1_11_m2_m5_m6_m10_m12,92,(96 - 4)
artificial_language_g1_11_m2_m5_m6_m10_m12,93,(96 - 3)
artificial_language_g1_11_m2_m5_m6_m10_m12,94,(96 - 2)
artificial_language_g1_11_m2_m5_m6_m10_m12,95,(96 - 1)
artificial_language_g1_11_m2_m5_m6_m10_m12,96,96
