language,type,lexicon,grammar,lexicon_grammar,avg_ms_complexity
artificial_language_g4_3_m11_m17_m22_m28_m29_m30_m31_m34_m40_m41_m45_m53,artificial,8,0,8,1.192078867659985
artificial_language_g15_34_m16_m17_m18_m19_m21_m37_m38_m43_m54,artificial,14,0,14,1.098458465166444
artificial_language_g0_244_m1_m4_m7_m10_m25_m35_m37_m45_m51_m54,artificial,37,2,39,1.0209831158076939
artificial_language_g4_3_m11_m17_m22_m28_m29_m30_m31_m34_m40_m41_m45_m53_m54,artificial,9,0,9,1.1668949620775686
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44_m55,artificial,26,0,26,1.0388387710663705
artificial_language_g0_244_m1_m4_m7_m10_m25_m35_m37_m45_m51_m54_m56,artificial,36,2,38,1.0219133647875758
artificial_language_g15_34_m16_m17_m18_m19_m21_m37_m38_m43_m54_m58,artificial,13,0,13,1.1095726448706775
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60,artificial,77,2,79,1.0002063296437214
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44_m55_m60,artificial,27,0,27,1.036570403803207
artificial_language_g15_34_m16_m17_m18_m19_m21_m37_m38_m43_m54_m55_m62,artificial,16,0,16,1.0812879663779043
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60_m62,artificial,76,2,78,1.000211795093079
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44_m55_m60_m62,artificial,28,0,28,1.0344716366641689
artificial_language_g15_34_m16_m17_m18_m19_m21_m37_m38_m43_m54_m55_m62_m63,artificial,17,0,17,1.0746328256041735
artificial_language_g15_34_m16_m17_m18_m19_m21_m37_m38_m43_m54_m55_m62_m65,artificial,15,0,15,1.0887992359109515
artificial_language_g0_139_m1_m14_m33_m34_m44_m66_m69,artificial,95,2,97,1.000135548859571
artificial_language_g15_34_m16_m17_m18_m19_m21_m37_m38_m43_m54_m55_m62_m63_m70,artificial,18,0,18,1.0686844872096573
artificial_language_g15_34_m16_m17_m18_m19_m21_m24_m25_m31_m33_m41_m45_m71,artificial,11,0,11,1.1266920365285642
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44_m55_m60_m62_m72,artificial,29,0,29,1.0325235309641017
artificial_language_g23_44_m34_m37_m41_m71_m73,artificial,56,2,58,1.0007666165925764
artificial_language_g0_139_m1_m14_m33_m34_m41_m60_m75,artificial,93,2,95,1.0002798898252294
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44_m55_m60_m62_m72_m75,artificial,30,0,30,1.0307098909418164
artificial_language_g25_10_m27_m39_m77,artificial,81,2,83,1.0001864545736359
artificial_language_g23_44_m34_m37_m41_m71_m80,artificial,58,2,60,1.0003636529303277
artificial_language_g62_22_m63_m67_m75_m77_m80,artificial,64,2,66,1.000588209371294
artificial_language_g0_139_m1_m14_m33_m34_m44_m66_m69_m81,artificial,94,2,96,1.000144533135353
artificial_language_g62_22_m63_m67_m75_m77_m80_m81,artificial,63,2,65,1.0006068850000291
artificial_language_g8_0_m17_m22_m25_m27_m30_m34_m37_m64_m77_m81_m82,artificial,84,2,86,1.000173374214516
artificial_language_g8_0_m17_m22_m25_m27_m34_m83,artificial,89,2,91,1.0001579711334745
artificial_language_g0_139_m1_m14_m33_m34_m41_m60_m75_m83,artificial,92,2,94,1.0002891687482098
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44_m55_m60_m62_m72_m75_m85,artificial,31,0,31,1.0290167833781911
artificial_language_g23_44_m34_m37_m41_m71_m80_m85,artificial,57,2,59,1.0003900919826603
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60_m62_m86,artificial,75,2,77,1.0002174806146886
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60_m62_m86_m88,artificial,74,2,76,1.0002233981843724
artificial_language_g8_0_m17_m22_m25_m27_m30_m34_m37_m90,artificial,87,2,89,1.0001616235245905
artificial_language_g62_22_m63_m67_m75_m77_m80_m90,artificial,65,2,67,1.0002986641742244
artificial_language_g62_22_m63_m67_m68_m72_m74_m80_m81_m90,artificial,61,2,63,1.0006470069740787
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m32_m41_m46_m56_m86_m90,artificial,19,0,19,1.0618014336006374
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60_m62_m86_m88_m90,artificial,73,2,75,1.000229560603795
artificial_language_g62_22_m63_m67_m75_m77_m80_m81_m91,artificial,62,2,64,1.0006264644412113
artificial_language_g91_36,artificial,96,0,96,1.000384933304972
artificial_language_g0_31_m1_m4_m5_m6_m8_m14_m15_m21_m23_m24_m25_m27_m28_m29_m35_m37_m41_m45_m46_m48_m73_m92,artificial,34,0,34,1.025239889315591
artificial_language_g0_43_m18_m19_m21_m37_m44_m56_m69_m83_m94,artificial,71,2,73,1.0005215084487817
artificial_language_g62_22_m63_m67_m75_m77_m80_m90_m94,artificial,66,2,68,1.0005533544914536
artificial_language_g25_10_m27_m29_m35_m39_m42_m45_m60_m62_m86_m88_m90_m94,artificial,72,2,74,1.0002359815697577
artificial_language_g39_41_m72_m95,artificial,51,2,53,1.000000000000001
artificial_language_g0_31_m1_m4_m5_m6_m8_m14_m15_m21_m23_m24_m25_m27_m28_m29_m35_m37_m41_m45_m46_m48_m73_m95,artificial,33,0,33,1.0264661217243323
artificial_language_g0_31_m1_m4_m5_m6_m8_m12_m18_m27_m31_m40_m44_m55_m60_m62_m72_m75_m85_m95,artificial,32,0,32,1.0274321548158145
artificial_language_g8_0_m17_m22_m25_m27_m30_m34_m37_m90_m95,artificial,86,2,88,1.0001693188176644
artificial_language_g45_8_m53_m72_m97,artificial,54,2,56,1.0004195227906798
artificial_language_g97_41,artificial,70,2,72,1.0026620610644397
artificial_language_g8_0_m17_m22_m25_m27_m30_m34_m37_m64_m77_m81_m82_m98,artificial,85,2,87,1.000508097096217
artificial_language_g98_4,artificial,69,2,71,1.0059526365767788
artificial_language_g98_39,artificial,53,0,53,1.0143052124480894
artificial_language_g0_244_m1_m4_m7_m10_m25_m35_m37_m45_m51_m54_m56_m99,artificial,35,2,37,1.0228970984794863
artificial_language_g0_139_m1_m14_m33_m34_m41_m60_m75_m83_m99,artificial,91,2,93,1.000433701883562
artificial_language_g9_12_m14_m43_m46_m61_m80_m83_m99,artificial,67,2,69,1.0003287633586733
artificial_language_g0_0,artificial,98,0,98,1.0003398134604509
artificial_language_g0_1,artificial,89,0,89,1.002989971308569
artificial_language_g0_2,artificial,76,0,76,1.0038654981920188
artificial_language_g0_3,artificial,82,28,110,1.0551702818146993
artificial_language_g0_4,artificial,91,4,95,1.0040261527416976
artificial_language_g0_5,artificial,63,0,63,1.0369188576355362
artificial_language_g0_6,artificial,96,0,96,1.0004780533979791
artificial_language_g0_7,artificial,85,0,85,1.0114029413723422
artificial_language_g0_8,artificial,73,2,75,1.0025654563891104
artificial_language_g0_9,artificial,100,2,102,1.000000000000001
artificial_language_g0_10,artificial,96,0,96,1.0004548804870639
artificial_language_g0_11,artificial,99,0,99,1.000000000000001
artificial_language_g0_12,artificial,91,0,91,1.0013129173839024
artificial_language_g0_13,artificial,99,0,99,1.000000000000001
artificial_language_g0_14,artificial,85,0,85,1.009244792759425
artificial_language_g0_15,artificial,91,0,91,1.001500445097013
artificial_language_g0_16,artificial,78,2,80,1.0036560202387814
artificial_language_g0_17,artificial,67,0,67,1.014536716951003
artificial_language_g0_18,artificial,85,2,87,1.0056998105003876
artificial_language_g0_19,artificial,52,4,56,1.027042855412792
artificial_language_g0_20,artificial,99,0,99,1.000000000000001
artificial_language_g0_21,artificial,19,0,19,1.194055286085582
artificial_language_g0_22,artificial,54,0,54,1.016028966935453
artificial_language_g0_23,artificial,97,0,97,1.002965132503747
artificial_language_g0_24,artificial,85,2,87,1.017512186512077
artificial_language_g0_25,artificial,89,0,89,1.0021068076598336
artificial_language_g0_26,artificial,93,0,93,1.0034135985461707
artificial_language_g0_27,artificial,97,0,97,1.0013296799261997
artificial_language_g0_28,artificial,77,59,136,1.3569434544431465
artificial_language_g0_29,artificial,92,2,94,1.0023047922360755
artificial_language_g0_30,artificial,94,1,95,1.002469513717606
artificial_language_g0_31,artificial,23,4,27,1.1072323037983414
artificial_language_g0_32,artificial,97,0,97,1.0013351453755572
artificial_language_g0_33,artificial,96,0,96,1.0004267897142511
artificial_language_g0_34,artificial,98,13,111,1.0034074781137357
artificial_language_g0_35,artificial,86,0,86,1.0053798141014811
artificial_language_g0_36,artificial,90,0,90,1.0019010628040754
artificial_language_g0_37,artificial,97,2,99,1.0004040139190218
artificial_language_g0_38,artificial,88,9,97,1.0246814842280418
artificial_language_g0_39,artificial,98,0,98,1.0001414416068477
artificial_language_g0_40,artificial,86,0,86,1.00236037309588
artificial_language_g0_41,artificial,43,0,43,1.1181854809083018
artificial_language_g0_42,artificial,80,24,104,1.2846488420886244
artificial_language_g0_43,artificial,79,2,81,1.0002359815697577
artificial_language_g0_44,artificial,98,32,130,1.1456543150309462
artificial_language_g0_45,artificial,86,0,86,1.0025451431652272
artificial_language_g0_46,artificial,80,2,82,1.003570052641531
artificial_language_g0_47,artificial,15,0,15,1.5530139010535924
artificial_language_g0_48,artificial,97,0,97,1.0014315711082842
artificial_language_g0_49,artificial,78,2,80,1.028997439717094
artificial_language_g0_50,artificial,98,2,100,1.0002688185807773
artificial_language_g0_51,artificial,79,0,79,1.022684206552026
artificial_language_g0_52,artificial,70,0,70,1.0079451646157953
artificial_language_g0_53,artificial,98,0,98,1.0001248166980543
artificial_language_g0_54,artificial,98,0,98,1.0001477271413628
artificial_language_g0_55,artificial,84,0,84,1.009214554306473
artificial_language_g0_56,artificial,91,3,94,1.0075747951885945
artificial_language_g0_57,artificial,85,6,91,1.008914609657875
artificial_language_g0_58,artificial,97,0,97,1.0003049540471805
artificial_language_g0_59,artificial,62,0,62,1.0185504004977706
artificial_language_g0_60,artificial,65,3,68,1.0144163347548092
artificial_language_g0_61,artificial,81,2,83,1.0035078901926235
artificial_language_g0_62,artificial,93,6,99,1.0068792088621277
artificial_language_g0_63,artificial,71,2,73,1.022776103307572
artificial_language_g0_64,artificial,91,3,94,1.0019937807831338
artificial_language_g0_65,artificial,97,2,99,1.0004427240479215
artificial_language_g0_66,artificial,85,62,147,1.1302866615602005
artificial_language_g0_67,artificial,95,11,106,1.0028414602512055
artificial_language_g0_68,artificial,78,0,78,1.0037958431583707
artificial_language_g0_69,artificial,100,2,102,1.000000000000001
artificial_language_g0_70,artificial,81,0,81,1.0043350538873341
artificial_language_g0_71,artificial,99,3,102,1.0004963464062915
artificial_language_g0_72,artificial,99,0,99,1.000000000000001
artificial_language_g0_73,artificial,85,0,85,1.0034758886489448
artificial_language_g0_74,artificial,91,0,91,1.045419451249391
artificial_language_g0_75,artificial,77,2,79,1.0313084874709462
artificial_language_g0_76,artificial,68,2,70,1.1313717280774265
artificial_language_g0_77,artificial,99,0,99,1.000000000000001
artificial_language_g0_78,artificial,81,2,83,1.0030201413976556
artificial_language_g0_79,artificial,69,55,124,1.3948299552285
artificial_language_g0_80,artificial,86,0,86,1.0018477131339552
artificial_language_g0_81,artificial,59,2,61,1.0080295157100354
artificial_language_g0_82,artificial,62,2,64,1.018098091577304
artificial_language_g0_83,artificial,78,2,80,1.0292069920429507
artificial_language_g0_84,artificial,98,2,100,1.000302393771304
artificial_language_g0_85,artificial,75,3,78,1.0084746277822436
artificial_language_g0_86,artificial,96,0,96,1.0004015582137655
artificial_language_g0_87,artificial,85,4,89,1.0045382462458263
artificial_language_g0_88,artificial,90,5,95,1.0039172836086088
artificial_language_g0_89,artificial,77,2,79,1.0263924124788857
artificial_language_g0_90,artificial,98,0,98,1.0001248166980543
artificial_language_g0_91,artificial,94,0,94,1.0006851418895146
artificial_language_g0_92,artificial,72,25,97,1.0386689472659887
artificial_language_g0_93,artificial,89,0,89,1.002875478583763
artificial_language_g0_94,artificial,86,0,86,1.0869333906006267
artificial_language_g0_95,artificial,90,0,90,1.009023595317143
artificial_language_g0_96,artificial,92,0,92,1.0012819643955182
artificial_language_g0_97,artificial,80,7,87,1.0132804199062169
artificial_language_g0_98,artificial,70,2,72,1.0088719239826462
artificial_language_g0_99,artificial,87,0,87,1.1074698925375526
artificial_language_g0_100,artificial,83,12,95,1.0167886812352247
artificial_language_g0_101,artificial,93,0,93,1.0028217755852733
artificial_language_g0_102,artificial,82,22,104,1.014731763510442
artificial_language_g0_103,artificial,99,0,99,1.000000000000001
artificial_language_g0_104,artificial,98,0,98,1.000173374214516
artificial_language_g0_105,artificial,98,0,98,1.0001384482183824
artificial_language_g0_106,artificial,78,2,80,1.002894811880916
artificial_language_g0_107,artificial,99,0,99,1.000000000000001
artificial_language_g0_108,artificial,72,5,77,1.0119964953289675
artificial_language_g0_109,artificial,69,0,69,1.0079654016099513
artificial_language_g0_110,artificial,98,0,98,1.0001248166980543
artificial_language_g0_111,artificial,99,0,99,1.000000000000001
artificial_language_g0_112,artificial,69,2,71,1.0169027843924723
artificial_language_g0_113,artificial,96,0,96,1.0004950658362182
artificial_language_g0_114,artificial,76,16,92,1.0723902347288652
artificial_language_g0_115,artificial,86,38,124,1.0269242446617168
artificial_language_g0_116,artificial,59,0,59,1.0105635440881504
artificial_language_g0_117,artificial,80,0,80,1.0033645864083733
artificial_language_g0_118,artificial,20,4,24,1.3515568470281505
artificial_language_g0_119,artificial,71,2,73,1.0516696666959795
artificial_language_g0_120,artificial,79,2,81,1.0219179556524296
artificial_language_g0_121,artificial,99,0,99,1.000000000000001
artificial_language_g0_122,artificial,99,0,99,1.000000000000001
artificial_language_g0_123,artificial,98,24,122,1.0441503287082765
artificial_language_g0_124,artificial,91,28,119,1.010068323770475
artificial_language_g0_125,artificial,65,2,67,1.006680416890589
artificial_language_g0_126,artificial,99,0,99,1.000000000000001
artificial_language_g0_127,artificial,65,0,65,1.060868100635738
artificial_language_g0_128,artificial,91,0,91,1.001747007745836
artificial_language_g0_129,artificial,76,0,76,1.005153338535044
artificial_language_g0_130,artificial,97,0,97,1.0003033910555852
artificial_language_g0_131,artificial,61,2,63,1.0157002069244718
artificial_language_g0_132,artificial,99,0,99,1.000000000000001
artificial_language_g0_133,artificial,81,0,81,1.0101602992613423
artificial_language_g0_134,artificial,85,0,85,1.0025768253761111
artificial_language_g0_135,artificial,99,0,99,1.000000000000001
artificial_language_g0_136,artificial,98,0,98,1.00013001684107
artificial_language_g0_137,artificial,76,4,80,1.0083910095852928
artificial_language_g0_138,artificial,97,8,105,1.0029232274061024
artificial_language_g0_139,artificial,95,2,97,1.0002798898252294
artificial_language_g0_140,artificial,57,2,59,1.0118790275518874
artificial_language_g0_141,artificial,95,0,95,1.0007993548600607
artificial_language_g0_142,artificial,88,44,132,1.0315591782411822
artificial_language_g0_143,artificial,56,0,56,1.0174290641858905
artificial_language_g0_144,artificial,88,0,88,1.0042798921307916
artificial_language_g0_145,artificial,99,4,103,1.0007028099254383
artificial_language_g0_146,artificial,81,0,81,1.0046040928166673
artificial_language_g0_147,artificial,84,42,126,1.121506371450225
artificial_language_g0_148,artificial,94,0,94,1.0033905435086257
artificial_language_g0_149,artificial,99,0,99,1.000000000000001
artificial_language_g0_150,artificial,60,0,60,1.0140069668764666
artificial_language_g0_151,artificial,85,0,85,1.0021337482453416
artificial_language_g0_152,artificial,88,0,88,1.0015811489865674
artificial_language_g0_153,artificial,62,0,62,1.0097449387563937
artificial_language_g0_154,artificial,99,6,105,1.0055458696889141
artificial_language_g0_155,artificial,92,38,130,1.0408462449207354
artificial_language_g0_156,artificial,85,0,85,1.0026291655796455
artificial_language_g0_157,artificial,63,0,63,1.0486683195379733
artificial_language_g0_158,artificial,72,0,72,1.0507981252777499
artificial_language_g0_159,artificial,95,0,95,1.0006689799576651
artificial_language_g0_160,artificial,99,1,100,1.0001248166980543
artificial_language_g0_161,artificial,87,0,87,1.0086540645824063
artificial_language_g0_162,artificial,96,0,96,1.0009478518066788
artificial_language_g0_163,artificial,89,2,91,1.0017108912291497
artificial_language_g0_164,artificial,54,2,56,1.018636133547849
artificial_language_g0_165,artificial,98,0,98,1.0002426757503717
artificial_language_g0_166,artificial,99,1,100,1.0001248166980543
artificial_language_g0_167,artificial,46,2,48,1.0188048478194134
artificial_language_g0_168,artificial,66,0,66,1.1268167695618292
artificial_language_g0_169,artificial,99,0,99,1.000000000000001
artificial_language_g0_170,artificial,59,0,59,1.0300766344053174
artificial_language_g0_171,artificial,87,3,90,1.0297622437082588
artificial_language_g0_172,artificial,98,0,98,1.0004355031889007
artificial_language_g0_173,artificial,91,0,91,1.0020368217663387
artificial_language_g0_174,artificial,97,0,97,1.0003679531683112
artificial_language_g0_175,artificial,99,0,99,1.000000000000001
artificial_language_g0_176,artificial,78,0,78,1.0177698478959465
artificial_language_g0_177,artificial,99,0,99,1.000000000000001
artificial_language_g0_178,artificial,94,3,97,1.0018863794775295
artificial_language_g0_179,artificial,70,0,70,1.0167321720180458
artificial_language_g0_180,artificial,83,3,86,1.043598321213446
artificial_language_g0_181,artificial,93,4,97,1.002220187163202
artificial_language_g0_182,artificial,99,0,99,1.000000000000001
artificial_language_g0_183,artificial,81,2,83,1.0033048634623696
artificial_language_g0_184,artificial,87,15,102,1.009286135260501
artificial_language_g0_185,artificial,97,0,97,1.00038051470511
artificial_language_g0_186,artificial,89,6,95,1.004307299277844
artificial_language_g0_187,artificial,92,2,94,1.0011234687336221
artificial_language_g0_188,artificial,95,2,97,1.000650499005611
artificial_language_g0_189,artificial,99,0,99,1.000000000000001
artificial_language_g0_190,artificial,58,0,58,1.018893026284963
artificial_language_g0_191,artificial,46,0,46,1.0164447888671584
artificial_language_g0_192,artificial,99,0,99,1.000000000000001
artificial_language_g0_193,artificial,82,2,84,1.0032478291891218
artificial_language_g0_194,artificial,83,0,83,1.002734846224251
artificial_language_g0_195,artificial,99,0,99,1.000000000000001
artificial_language_g0_196,artificial,16,2,18,1.1895730969723535
artificial_language_g0_197,artificial,42,0,42,1.0869609495467338
artificial_language_g0_198,artificial,77,4,81,1.0089355303257561
artificial_language_g0_199,artificial,66,3,69,1.0164675184254226
artificial_language_g0_200,artificial,61,0,61,1.0091877192419008
artificial_language_g0_201,artificial,87,2,89,1.0017390849536207
artificial_language_g0_202,artificial,79,2,81,1.0036231278246117
artificial_language_g0_203,artificial,88,0,88,1.0015997915014292
artificial_language_g0_204,artificial,19,0,19,1.4909477682202712
artificial_language_g0_205,artificial,93,6,99,1.0033777698827357
artificial_language_g0_206,artificial,93,2,95,1.1458955335103438
artificial_language_g0_207,artificial,96,0,96,1.0003931051906123
artificial_language_g0_208,artificial,50,2,52,1.0444598138104695
artificial_language_g0_209,artificial,73,2,75,1.0289967849215291
artificial_language_g0_210,artificial,82,11,93,1.1537536656197638
artificial_language_g0_211,artificial,73,2,75,1.0054832258235704
artificial_language_g0_212,artificial,94,0,94,1.0008346477922059
artificial_language_g0_213,artificial,97,0,97,1.000776417669247
artificial_language_g0_214,artificial,98,2,100,1.0001273769739305
artificial_language_g0_215,artificial,75,2,77,1.0042724169271606
artificial_language_g0_216,artificial,67,2,69,1.0288099762550194
artificial_language_g0_217,artificial,34,2,36,1.0634930300647378
artificial_language_g0_218,artificial,78,0,78,1.0052577129470286
artificial_language_g0_219,artificial,99,0,99,1.000000000000001
artificial_language_g0_220,artificial,87,0,87,1.0018227100833819
artificial_language_g0_221,artificial,66,0,66,1.0077473194916915
artificial_language_g0_222,artificial,70,7,77,1.030023953838099
artificial_language_g0_223,artificial,95,0,95,1.0024477242597911
artificial_language_g0_224,artificial,84,0,84,1.0026110983619185
artificial_language_g0_225,artificial,97,0,97,1.0007774870330932
artificial_language_g0_226,artificial,99,0,99,1.000000000000001
artificial_language_g0_227,artificial,93,0,93,1.0009850679078436
artificial_language_g0_228,artificial,98,0,98,1.0023125301656324
artificial_language_g0_229,artificial,82,0,82,1.002814691714656
artificial_language_g0_230,artificial,83,2,85,1.0027050748127606
artificial_language_g0_231,artificial,96,2,98,1.000514950146041
artificial_language_g0_232,artificial,82,3,85,1.0038448541548688
artificial_language_g0_233,artificial,98,0,98,1.0001248166980543
artificial_language_g0_234,artificial,95,0,95,1.000650352470662
artificial_language_g0_235,artificial,85,0,85,1.0055285014433832
artificial_language_g0_236,artificial,72,0,72,1.0327155881478631
artificial_language_g0_237,artificial,89,0,89,1.0026064701896047
artificial_language_g0_238,artificial,86,0,86,1.0022841715439983
artificial_language_g0_239,artificial,90,0,90,1.0014390759639067
artificial_language_g0_240,artificial,68,0,68,1.0080504215553419
artificial_language_g0_241,artificial,97,0,97,1.0017787766324784
artificial_language_g0_242,artificial,57,15,72,1.0395294272946702
artificial_language_g0_243,artificial,95,5,100,1.0067810373073265
artificial_language_g0_244,artificial,47,2,49,1.0147642006232924
artificial_language_g0_245,artificial,49,2,51,1.0478688542311891
artificial_language_g0_246,artificial,79,2,81,1.0029750593014097
artificial_language_g0_247,artificial,83,0,83,1.0169604103176684
artificial_language_g0_248,artificial,95,0,95,1.00088501789354
artificial_language_g0_249,artificial,96,0,96,1.0009787797157688
artificial_language_g0_250,artificial,59,16,75,1.0263073990303306
artificial_language_g0_251,artificial,76,0,76,1.005957079659768
artificial_language_g0_252,artificial,90,0,90,1.0015542167845612
artificial_language_g0_253,artificial,85,10,95,1.0109979058983265
artificial_language_g0_254,artificial,99,0,99,1.000000000000001
artificial_language_g0_255,artificial,76,2,78,1.0205067951750462
artificial_language_g0_256,artificial,99,0,99,1.000000000000001
artificial_language_g0_257,artificial,86,0,86,1.0702832390488504
artificial_language_g0_258,artificial,87,0,87,1.0121173800745016
artificial_language_g0_259,artificial,78,0,78,1.0120729299158062
artificial_language_g0_260,artificial,89,0,89,1.004054955007526
artificial_language_g0_261,artificial,96,0,96,1.0004160156339212
artificial_language_g0_262,artificial,97,0,97,1.0003429811372881
artificial_language_g0_263,artificial,57,2,59,1.0048442193767533
